Mes,Fecha,Día de semana,Score (0-100),Detalle
Agosto 2025,2025-08-01,Viernes,55,+5 Día 1→1 inicio
Agosto 2025,2025-08-02,Sábado,54,-4 Fin de semana | +8 Día 2→2 acuerdos
Agosto 2025,2025-08-03,Domingo,46,-4 Fin de semana
Agosto 2025,2025-08-04,Lunes,55,+5 Día 4→4 estabilidad
Agosto 2025,2025-08-05,Martes,50,
Agosto 2025,2025-08-06,Miércoles,64,+6 Miércoles (Mercurio) | +8 Día 6→6 acuerdos
Agosto 2025,2025-08-07,Jueves,50,
Agosto 2025,2025-08-08,Viernes,76,+20 Ventana Verde | +6 Día 8→8 poder
Agosto 2025,2025-08-09,Sábado,46,-4 Fin de semana
Agosto 2025,2025-08-10,Domingo,51,-4 Fin de semana | +5 Día 10→1 inicio
Agosto 2025,2025-08-11,Lunes,58,+8 Día 11→2 acuerdos
Agosto 2025,2025-08-12,Martes,50,
Agosto 2025,2025-08-13,Miércoles,61,+6 Miércoles (Mercurio) | +5 Día 13→4 estabilidad
Agosto 2025,2025-08-14,Jueves,50,
Agosto 2025,2025-08-15,Viernes,58,+8 Día 15→6 acuerdos
Agosto 2025,2025-08-16,Sábado,46,-4 Fin de semana
Agosto 2025,2025-08-17,Domingo,52,-4 Fin de semana | +6 Día 17→8 poder
Agosto 2025,2025-08-18,Lunes,50,
Agosto 2025,2025-08-19,Martes,55,+5 Día 19→1 inicio
Agosto 2025,2025-08-20,Miércoles,64,+6 Miércoles (Mercurio) | +8 Día 20→2 acuerdos
Agosto 2025,2025-08-21,Jueves,50,
Agosto 2025,2025-08-22,Viernes,55,+5 Día 22→4 estabilidad
Agosto 2025,2025-08-23,Sábado,46,-4 Fin de semana
Agosto 2025,2025-08-24,Domingo,54,-4 Fin de semana | +8 Día 24→6 acuerdos
Agosto 2025,2025-08-25,Lunes,50,
Agosto 2025,2025-08-26,Martes,56,+6 Día 26→8 poder
Agosto 2025,2025-08-27,Miércoles,56,+6 Miércoles (Mercurio)
Agosto 2025,2025-08-28,Jueves,55,+5 Día 28→1 inicio
Agosto 2025,2025-08-29,Viernes,58,+8 Día 29→2 acuerdos
Agosto 2025,2025-08-30,Sábado,46,-4 Fin de semana
Agosto 2025,2025-08-31,Domingo,51,-4 Fin de semana | +5 Día 31→4 estabilidad
Septiembre 2025,2025-09-01,Lunes,55,+5 Día 1→1 inicio
Septiembre 2025,2025-09-02,Martes,58,+8 Día 2→2 acuerdos
Septiembre 2025,2025-09-03,Miércoles,56,+6 Miércoles (Mercurio)
Septiembre 2025,2025-09-04,Jueves,55,+5 Día 4→4 estabilidad
Septiembre 2025,2025-09-05,Viernes,50,
Septiembre 2025,2025-09-06,Sábado,54,-4 Fin de semana | +8 Día 6→6 acuerdos
Septiembre 2025,2025-09-07,Domingo,46,-4 Fin de semana
Septiembre 2025,2025-09-08,Lunes,56,+6 Día 8→8 poder
Septiembre 2025,2025-09-09,Martes,50,
Septiembre 2025,2025-09-10,Miércoles,61,+6 Miércoles (Mercurio) | +5 Día 10→1 inicio
Septiembre 2025,2025-09-11,Jueves,58,+8 Día 11→2 acuerdos
Septiembre 2025,2025-09-12,Viernes,50,
Septiembre 2025,2025-09-13,Sábado,51,-4 Fin de semana | +5 Día 13→4 estabilidad
Septiembre 2025,2025-09-14,Domingo,46,-4 Fin de semana
Septiembre 2025,2025-09-15,Lunes,58,+8 Día 15→6 acuerdos
Septiembre 2025,2025-09-16,Martes,50,
Septiembre 2025,2025-09-17,Miércoles,62,+6 Miércoles (Mercurio) | +6 Día 17→8 poder
Septiembre 2025,2025-09-18,Jueves,50,
Septiembre 2025,2025-09-19,Viernes,55,+5 Día 19→1 inicio
Septiembre 2025,2025-09-20,Sábado,54,-4 Fin de semana | +8 Día 20→2 acuerdos
Septiembre 2025,2025-09-21,Domingo,46,-4 Fin de semana
Septiembre 2025,2025-09-22,Lunes,75,+20 Ventana Verde | +5 Día 22→4 estabilidad
Septiembre 2025,2025-09-23,Martes,50,
Septiembre 2025,2025-09-24,Miércoles,64,+6 Miércoles (Mercurio) | +8 Día 24→6 acuerdos
Septiembre 2025,2025-09-25,Jueves,50,
Septiembre 2025,2025-09-26,Viernes,56,+6 Día 26→8 poder
Septiembre 2025,2025-09-27,Sábado,34,-12 Cercanía a eclipse | -4 Fin de semana
Septiembre 2025,2025-09-28,Domingo,39,-12 Cercanía a eclipse | -4 Fin de semana | +5 Día 28→1 inicio
Septiembre 2025,2025-09-29,Lunes,16,-30 Alerta/Eclipse Rojo | -12 Cercanía a eclipse | +8 Día 29→2 acuerdos
Septiembre 2025,2025-09-30,Martes,38,-12 Cercanía a eclipse
Octubre 2025,2025-10-01,Miércoles,49,-12 Cercanía a eclipse | +6 Miércoles (Mercurio) | +5 Día 1→1 inicio
Octubre 2025,2025-10-02,Jueves,58,+8 Día 2→2 acuerdos
Octubre 2025,2025-10-03,Viernes,50,
Octubre 2025,2025-10-04,Sábado,51,-4 Fin de semana | +5 Día 4→4 estabilidad
Octubre 2025,2025-10-05,Domingo,46,-4 Fin de semana
Octubre 2025,2025-10-06,Lunes,46,-12 Cercanía a eclipse | +8 Día 6→6 acuerdos
Octubre 2025,2025-10-07,Martes,38,-12 Cercanía a eclipse
Octubre 2025,2025-10-08,Miércoles,20,-30 Alerta/Eclipse Rojo | -12 Cercanía a eclipse | +6 Miércoles (Mercurio) | +6 Día 8→8 poder
Octubre 2025,2025-10-09,Jueves,71,+25 Ventana Dorada | -12 Cercanía a eclipse | +8 Año Personal 1
Octubre 2025,2025-10-10,Viernes,51,-12 Cercanía a eclipse | +5 Día 10→1 inicio | +8 Año Personal 1
Octubre 2025,2025-10-11,Sábado,62,-4 Fin de semana | +8 Día 11→2 acuerdos | +8 Año Personal 1
Octubre 2025,2025-10-12,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Octubre 2025,2025-10-13,Lunes,63,+5 Día 13→4 estabilidad | +8 Año Personal 1
Octubre 2025,2025-10-14,Martes,58,+8 Año Personal 1
Octubre 2025,2025-10-15,Miércoles,72,+6 Miércoles (Mercurio) | +8 Día 15→6 acuerdos | +8 Año Personal 1
Octubre 2025,2025-10-16,Jueves,58,+8 Año Personal 1
Octubre 2025,2025-10-17,Viernes,64,+6 Día 17→8 poder | +8 Año Personal 1
Octubre 2025,2025-10-18,Sábado,54,-4 Fin de semana | +8 Año Personal 1
Octubre 2025,2025-10-19,Domingo,59,-4 Fin de semana | +5 Día 19→1 inicio | +8 Año Personal 1
Octubre 2025,2025-10-20,Lunes,66,+8 Día 20→2 acuerdos | +8 Año Personal 1
Octubre 2025,2025-10-21,Martes,58,+8 Año Personal 1
Octubre 2025,2025-10-22,Miércoles,69,+6 Miércoles (Mercurio) | +5 Día 22→4 estabilidad | +8 Año Personal 1
Octubre 2025,2025-10-23,Jueves,58,+8 Año Personal 1
Octubre 2025,2025-10-24,Viernes,66,+8 Día 24→6 acuerdos | +8 Año Personal 1
Octubre 2025,2025-10-25,Sábado,54,-4 Fin de semana | +8 Año Personal 1
Octubre 2025,2025-10-26,Domingo,60,-4 Fin de semana | +6 Día 26→8 poder | +8 Año Personal 1
Octubre 2025,2025-10-27,Lunes,58,+8 Año Personal 1
Octubre 2025,2025-10-28,Martes,63,+5 Día 28→1 inicio | +8 Año Personal 1
Octubre 2025,2025-10-29,Miércoles,72,+6 Miércoles (Mercurio) | +8 Día 29→2 acuerdos | +8 Año Personal 1
Octubre 2025,2025-10-30,Jueves,58,+8 Año Personal 1
Octubre 2025,2025-10-31,Viernes,63,+5 Día 31→4 estabilidad | +8 Año Personal 1
Noviembre 2025,2025-11-01,Sábado,59,-4 Fin de semana | +5 Día 1→1 inicio | +8 Año Personal 1
Noviembre 2025,2025-11-02,Domingo,62,-4 Fin de semana | +8 Día 2→2 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-03,Lunes,58,+8 Año Personal 1
Noviembre 2025,2025-11-04,Martes,63,+5 Día 4→4 estabilidad | +8 Año Personal 1
Noviembre 2025,2025-11-05,Miércoles,64,+6 Miércoles (Mercurio) | +8 Año Personal 1
Noviembre 2025,2025-11-06,Jueves,66,+8 Día 6→6 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-07,Viernes,58,+8 Año Personal 1
Noviembre 2025,2025-11-08,Sábado,60,-4 Fin de semana | +6 Día 8→8 poder | +8 Año Personal 1
Noviembre 2025,2025-11-09,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Noviembre 2025,2025-11-10,Lunes,63,+5 Día 10→1 inicio | +8 Año Personal 1
Noviembre 2025,2025-11-11,Martes,91,+25 Ventana Dorada | +8 Día 11→2 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-12,Miércoles,64,+6 Miércoles (Mercurio) | +8 Año Personal 1
Noviembre 2025,2025-11-13,Jueves,63,+5 Día 13→4 estabilidad | +8 Año Personal 1
Noviembre 2025,2025-11-14,Viernes,58,+8 Año Personal 1
Noviembre 2025,2025-11-15,Sábado,62,-4 Fin de semana | +8 Día 15→6 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-16,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Noviembre 2025,2025-11-17,Lunes,64,+6 Día 17→8 poder | +8 Año Personal 1
Noviembre 2025,2025-11-18,Martes,58,+8 Año Personal 1
Noviembre 2025,2025-11-19,Miércoles,69,+6 Miércoles (Mercurio) | +5 Día 19→1 inicio | +8 Año Personal 1
Noviembre 2025,2025-11-20,Jueves,66,+8 Día 20→2 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-21,Viernes,58,+8 Año Personal 1
Noviembre 2025,2025-11-22,Sábado,59,-4 Fin de semana | +5 Día 22→4 estabilidad | +8 Año Personal 1
Noviembre 2025,2025-11-23,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Noviembre 2025,2025-11-24,Lunes,66,+8 Día 24→6 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-25,Martes,58,+8 Año Personal 1
Noviembre 2025,2025-11-26,Miércoles,70,+6 Miércoles (Mercurio) | +6 Día 26→8 poder | +8 Año Personal 1
Noviembre 2025,2025-11-27,Jueves,58,+8 Año Personal 1
Noviembre 2025,2025-11-28,Viernes,63,+5 Día 28→1 inicio | +8 Año Personal 1
Noviembre 2025,2025-11-29,Sábado,62,-4 Fin de semana | +8 Día 29→2 acuerdos | +8 Año Personal 1
Noviembre 2025,2025-11-30,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Diciembre 2025,2025-12-01,Lunes,63,+5 Día 1→1 inicio | +8 Año Personal 1
Diciembre 2025,2025-12-02,Martes,66,+8 Día 2→2 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-03,Miércoles,64,+6 Miércoles (Mercurio) | +8 Año Personal 1
Diciembre 2025,2025-12-04,Jueves,63,+5 Día 4→4 estabilidad | +8 Año Personal 1
Diciembre 2025,2025-12-05,Viernes,58,+8 Año Personal 1
Diciembre 2025,2025-12-06,Sábado,62,-4 Fin de semana | +8 Día 6→6 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-07,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Diciembre 2025,2025-12-08,Lunes,64,+6 Día 8→8 poder | +8 Año Personal 1
Diciembre 2025,2025-12-09,Martes,58,+8 Año Personal 1
Diciembre 2025,2025-12-10,Miércoles,69,+6 Miércoles (Mercurio) | +5 Día 10→1 inicio | +8 Año Personal 1
Diciembre 2025,2025-12-11,Jueves,66,+8 Día 11→2 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-12,Viernes,58,+8 Año Personal 1
Diciembre 2025,2025-12-13,Sábado,59,-4 Fin de semana | +5 Día 13→4 estabilidad | +8 Año Personal 1
Diciembre 2025,2025-12-14,Domingo,54,-4 Fin de semana | +8 Año Personal 1
Diciembre 2025,2025-12-15,Lunes,66,+8 Día 15→6 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-16,Martes,58,+8 Año Personal 1
Diciembre 2025,2025-12-17,Miércoles,70,+6 Miércoles (Mercurio) | +6 Día 17→8 poder | +8 Año Personal 1
Diciembre 2025,2025-12-18,Jueves,58,+8 Año Personal 1
Diciembre 2025,2025-12-19,Viernes,63,+5 Día 19→1 inicio | +8 Año Personal 1
Diciembre 2025,2025-12-20,Sábado,62,-4 Fin de semana | +8 Día 20→2 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-21,Domingo,74,+20 Ventana Verde | -4 Fin de semana | +8 Año Personal 1
Diciembre 2025,2025-12-22,Lunes,63,+5 Día 22→4 estabilidad | +8 Año Personal 1
Diciembre 2025,2025-12-23,Martes,58,+8 Año Personal 1
Diciembre 2025,2025-12-24,Miércoles,72,+6 Miércoles (Mercurio) | +8 Día 24→6 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-25,Jueves,58,+8 Año Personal 1
Diciembre 2025,2025-12-26,Viernes,64,+6 Día 26→8 poder | +8 Año Personal 1
Diciembre 2025,2025-12-27,Sábado,54,-4 Fin de semana | +8 Año Personal 1
Diciembre 2025,2025-12-28,Domingo,59,-4 Fin de semana | +5 Día 28→1 inicio | +8 Año Personal 1
Diciembre 2025,2025-12-29,Lunes,66,+8 Día 29→2 acuerdos | +8 Año Personal 1
Diciembre 2025,2025-12-30,Martes,58,+8 Año Personal 1
Diciembre 2025,2025-12-31,Miércoles,69,+6 Miércoles (Mercurio) | +5 Día 31→4 estabilidad | +8 Año Personal 1
